Seed Image,Test Image,Rank,X,Y,Width,Height,Total Matches,Inlier Count,Inlier Ratio,Match Quality,ORB Score,DINO Score,Final Score
seed1.jpeg,test 1 .jpeg,1,192,96,192,192,7,5,0.7143,0.1667,0.4953,0.6054,0.5173
seed1.jpeg,test 1 .jpeg,2,704,256,128,128,6,5,0.8333,0.1667,0.5667,0.2863,0.5106
seed1.jpeg,test 1 .jpeg,3,1056,288,192,192,7,5,0.7143,0.1667,0.4953,0.5498,0.5062
seed1.jpeg,test 1 .jpeg,4,0,768,192,192,10,7,0.7,0.2333,0.5133,0.4745,0.5055
seed1.jpeg,test 1 .jpeg,5,1024,256,128,128,8,6,0.75,0.2,0.53,0.3666,0.4973
seed1.jpeg,test 1 .jpeg,6,960,192,128,128,7,5,0.7143,0.1667,0.4953,0.4119,0.4786
seed1.jpeg,test 1 .jpeg,7,0,640,128,128,7,5,0.7143,0.1667,0.4953,0.3469,0.4656
seed1.jpeg,test 1 .jpeg,8,768,0,192,192,6,4,0.6667,0.1333,0.4533,0.4855,0.4597
seed1.jpeg,test 1 .jpeg,9,192,768,192,192,6,4,0.6667,0.1333,0.4533,0.0,0.4533
seed1.jpeg,test 1 .jpeg,10,256,128,256,256,6,4,0.6667,0.1333,0.4533,0.0,0.4533
seed1.jpeg,test 2.jpeg,1,192,384,128,128,6,5,0.8333,0.1667,0.5667,0.5975,0.5729
seed1.jpeg,test 2.jpeg,2,1024,768,128,128,7,5,0.7143,0.1667,0.4953,0.4414,0.4845
seed1.jpeg,test 2.jpeg,3,0,384,128,128,8,5,0.625,0.1667,0.4417,0.6232,0.478
seed1.jpeg,test 2.jpeg,4,192,768,192,192,6,4,0.6667,0.1333,0.4533,0.5613,0.4749
seed1.jpeg,test 2.jpeg,5,256,320,128,128,6,4,0.6667,0.1333,0.4533,0.5253,0.4677
seed1.jpeg,test 2.jpeg,6,256,192,128,128,6,5,0.8333,0.1667,0.5667,0.0662,0.4666
seed1.jpeg,test 2.jpeg,7,640,128,256,256,6,4,0.6667,0.1333,0.4533,0.1739,0.3974
seed1.jpeg,test 2.jpeg,8,96,576,192,192,7,4,0.5714,0.1333,0.3962,0.0,0.3962
seed1.jpeg,test 2.jpeg,9,1056,672,192,192,7,4,0.5714,0.1333,0.3962,0.0,0.3962
seed1.jpeg,test 2.jpeg,10,0,64,128,128,8,5,0.625,0.1667,0.4417,0.1874,0.3908
seed1.jpeg,test 3.jpeg,1,64,640,128,128,6,4,0.6667,0.1333,0.4533,0.3406,0.4308
seed1.jpeg,test 3.jpeg,2,512,320,128,128,7,4,0.5714,0.1333,0.3962,0.4707,0.4111
seed1.jpeg,test 3.jpeg,3,192,0,128,128,3,0,0.0,0.0,0.0,0.5107,0.1021
seed1.jpeg,test 3.jpeg,4,0,0,128,128,4,0,0.0,0.0,0.0,0.4621,0.0924
seed1.jpeg,test 3.jpeg,5,448,0,128,128,1,0,0.0,0.0,0.0,0.4544,0.0909
seed1.jpeg,test 3.jpeg,6,64,0,128,128,1,0,0.0,0.0,0.0,0.4488,0.0898
seed1.jpeg,test 3.jpeg,7,128,0,128,128,3,0,0.0,0.0,0.0,0.3985,0.0797
seed1.jpeg,test 3.jpeg,8,256,0,128,128,4,0,0.0,0.0,0.0,0.3762,0.0752
seed1.jpeg,test 3.jpeg,9,320,0,128,128,5,0,0.0,0.0,0.0,0.3394,0.0679
seed1.jpeg,test 3.jpeg,10,384,0,128,128,5,0,0.0,0.0,0.0,0.2958,0.0592
